VýkazZC_VYKAZ:ZC_VYKAZ	Tabulka výkazuZC_VTAB:ZC_VTAB	Fiskální období0FISCPER:0FISCPER	Účetní jednotkaZC_UCJED:ZC_UCJED	IČOZC_ICO:ZC_ICO	IČO poskytovatele/BIC/ZC_PARTP:ZC_PARTP	Název poskytovatele/BIC/ZC_NAZPOS:ZC_NAZPOS	Určení/BIC/ZC_URCN:ZC_URCN	Účel/BIC/ZC_UCFP:ZC_UCFP	Kód měnyCURRENCY:0CURRENCY	Úroková sazba v %/BIC/ZC_URSA:ZC_URSA	Okamžik uzavření smlouvy/BIC/ZC_DATUS:ZC_DATUS	Termín splatnosti/BIC/ZC_TERSPL:ZC_TERSPL	Způsob ručení/BIC/ZC_ZPRU:ZC_ZPRU	Sjednaná výše U/Z/NFVKYF_0002:ZU_VYUV	Čerpaná výše U/Z/NVFKYF_0004:ZU_CEUV	Splacená výše jistiny U/Z/NFVKYF_0006:ZU_SPJUV	Výše zaplacených úroků a poplatkůKYF_0008:ZU_ZAPUP	ID	DEDUP_SUFFIX	COMPOSITE_ID
080	000100	2022012	1000010221	00278181	45317054	Komerční banka, a.s.	Ú	Rekonstrukce lanové dráhy Sněžka	CZK	4,37	20120320	20340714	zástavní právo k nemovitosti	90000000.00 	90000000.00 	28958119.18 	31282480.82 	00278181-45317054-20120320-20340714-90000000		00278181-45317054-20120320-20340714-90000000
080	000100	2022012	1000010222	00278335	00001350	Československá obchodní banka, a. s.	Ú	sport.hala,rek.chodníků,oprava	CZK	1,67	20180327	20270426	bez zajištění	24375000.00 	23045000.00 	9643376.00 	958382.04 	00278335-00001350-20180327-20270426-24375000		00278335-00001350-20180327-20270426-24375000
080	000100	2022012	1000010223	00278343	45317054	Komerční banka, a.s.	Ú	investiční municipální	CZK	1,21	20200813	20350920	nesjednáno	50000000.00 	43220000.00 	0.00 	0.00 	00278343-45317054-20200813-20350920-50000000		00278343-45317054-20200813-20350920-50000000
080	000100	2022012	1000010223	00278343	45317054	Komerční banka, a.s.	Ú	kontokorent	CZK	0,80	20211017	20231017	nesjednáno	4000000.00 	2471378.99 	0.00 	0.00 	00278343-45317054-20211017-20231017-4000000		00278343-45317054-20211017-20231017-4000000
080	000100	2022012	1000010224	00278360	45317054	Komerční banka, a.s.	Ú	Rek. areálu Na Nivách, vyb. zázemí pro Středisko volného času, inv. projekty, refinanc. stáv. úvěru	CZK	4,25-7,44	20170630	20291231	0	350000000.00 	350000000.00 	105000000.00 	27708122.97 	00278360-45317054-20170630-20291231-350000000		00278360-45317054-20170630-20291231-350000000
080	000100	2022012	1000010225	00278386	45244752		Ú	rekonstrukce objektu	CZK	6M PRIBOR + 0,01% p.a.	20170608	20280930	0	32515186.84 	32515186.78 	13821000.00 	2434741.60 	00278386-45244752-20170608-20280930-32515186		00278386-45244752-20170608-20280930-32515186
080	000100	2022012	1000010226	00278475	45244782	Česká spořitelna, a.s.	Ú	kanalizace	CZK	0,18	20171221	20371231	není	204271497.33 	204271497.33 	51067760.00 	19078054.28 	00278475-45244782-20171221-20371231-204271497		00278475-45244782-20171221-20371231-204271497
080	000100	2022012	1000010240	00278238	00020729	Státní fond životního prostředí České republiky	Z	Rekonstrukce kanalizace a ČOV	CZK	1	20141110	20250930	zástavním právem - zástavní sml. 12133761-Z	954533.19 	954533.19 	693831.40 	42471.19 	00278238-00020729-20141110-20250930-954533		00278238-00020729-20141110-20250930-954533
080	000100	2022012	1000010243	00278491	45244782	Česká spořitelna, a.s.	Ú	Kanalizace J.A.Komenského	CZK	PRIBOR+0,29	20160901	20310731	žádný	18000000.00 	18000000.00 	5568000.00 	2008318.30 	00278491-45244782-20160901-20310731-18000000		00278491-45244782-20160901-20310731-18000000
080	000100	2022012	1000010243	00278491	45244782	Česká spořitelna, a.s.	Ú	Kanalizace a vodovod Žacléř	CZK	1,16	20150527	20241031	žádný	9550000.00 	9550000.00 	7707112.00 	537681.60 	00278491-45244782-20150527-20241031-9550000		00278491-45244782-20150527-20241031-9550000
080	000100	2022012	1000010243	00278491	45244782	Česká spořitelna, a.s.	Ú	Zateplení bytového domu č.p.388	CZK	4,31	20061114	20220930	žádný	13200000.00 	13200000.00 	13200000.00 	5262321.28 	00278491-45244782-20061114-20220930-13200000		00278491-45244782-20061114-20220930-13200000
080	000100	2022012	1000010243	00278491	70856788	Státní fond podpory investic	Ú	Rekonstrukce byt. domu č.p.389	CZK	0,75	20130902	20230818	žádný	2615159.00 	2615159.00 	2427556.54 	114603.58 	00278491-70856788-20130902-20230818-2615159		00278491-70856788-20130902-20230818-2615159
080	000100	2022012	1000010243	00278491	70856788	Státní fond podpory investic	Ú	Rekonstukce byt. domu č.p.91 a 93	CZK	0,88	20150713	20250615	žádný	3565000.00 	3565000.00 	2601754.90 	409222.20 	00278491-70856788-20150713-20250615-3565000		00278491-70856788-20150713-20250615-3565000
