"""""""Výkaz""""""ZC_VYKAZ:ZC_VYKAZ";"""""""Tabulka výkazu""""""ZC_VTAB:ZC_VTAB";"""""""Fiskální období""""""0FISCPER:0FISCPER";"""""""Účetní jednotka""""""ZC_UCJED:ZC_UCJED";"""""""IČO""""""ZC_ICO:ZC_ICO";"""""""IČO poskytovatele""""""/BIC/ZC_PARTP:ZC_PARTP";"""""""Název poskytovatele""""""/BIC/ZC_NAZPOS:ZC_NAZPOS";"""""""Určení""""""/BIC/ZC_URCN:ZC_URCN";"""""""Účel""""""/BIC/ZC_UCFP:ZC_UCFP";"""""""Kód měny""""""CURRENCY:0CURRENCY";"""""""Úroková sazba v %""""""/BIC/ZC_URSA:ZC_URSA";"""""""Okamžik uzavření smlouvy""""""/BIC/ZC_DATUS:ZC_DATUS";"""""""Termín splatnosti""""""/BIC/ZC_TERSPL:ZC_TERSPL";"""""""Způsob ručení""""""/BIC/ZC_ZPRUC:ZC_ZPRUC";"""""""Sjednaná výše U/Z/NFV""""""KYF_0002:ZU_VYUV";"""""""Čerpaná výše U/Z/NVF""""""KYF_0004:ZU_CEUV";"""""""Splacená výše jistiny U/Z/NFV""""""KYF_0006:ZU_SPJUV";"""""""Výše zaplacených úroků a poplatků""""""KYF_0008:ZU_ZAPUP"
080;000100;2024012;1000000475;00233862;45244782;Česká spořitelna, a.s.;Ú;Odkoupení budovy České pošty;CZK;1M PRIBOR;20220714;20420620;02;3000000.00 ;3000000.00 ;375000.00 ;588624.54 
080;000100;2024012;1000000475;00233862;45244782;Česká spořitelna, a.s.;Ú;Svinaře-splašková kanalizace,ČOV 1200EO a vodovod;CZK;1,05%;20151216;20381231;02;20000000.00 ;20000000.00 ;6000000.00 ;1606878.10 
080;000100;2024012;1000000475;00233862;45244782;Česká spořitelna, a.s.;Ú;Svinaře-veřejný vodovod-4.etapa;CZK;1,79%;20210329;20300320;02;6500000.00 ;5895727.30 ;2234375.00 ;272195.36 
080;000100;2024012;1000000475;00233862;45244782;Česká spořitelna, a.s.;Ú;ČOV Svinaře vystrojení 2.linky a propojení vodovodu Běleč-Lhotka;CZK;3,85%;20241217;20511220;02;9500000.00 ;0.00 ;0.00 ;0.00 
080;000100;2024012;1000000476;00233161;45317054;Komerční banka, a.s.;Ú;nákup nemovitosti pro budoucí MŠ;CZK;0,9;20200611;20300531;01;5300000.00 ;5300000.00 ;2355548.00 ;926734.57 
080;000100;2024012;1000000476;00233161;45317054;Komerční banka, a.s.;Ú;vodojem Bubovice;CZK;1,3;20150506;20241031;01;2598000.00 ;2598000.00 ;2598000.00 ;744845.68 
080;000100;2024012;1000000478;00233218;45244782;Česká spořitelna, a.s.;Ú;Oprava chodníků;CZK;1,05;20171208;20300720;01;5000000.00 ;4292947.73 ;2673440.00 ;196925.93 
080;000100;2024012;1000000478;00233218;45244782;Česká spořitelna, a.s.;Ú;Výstavba vodovodu a kanalizace;CZK;0,54;20161011;20290620;01;15000000.00 ;15000000.00 ;15000000.00 ;425800.17 
080;000100;2024012;1000000479;00233234;45317054;Komerční banka, a.s.;Ú;nákup pozemku;CZK;4,52;20240116;20340131;03;7578870.00 ;7578870.00 ;68898.00 ;346691.09 
080;000100;2024012;1000000479;00233234;15886492;UniCredit Leasing CZ, a.s.;Ú;komunální technika;CZK;6,11;20230720;20260724;01;774400.00 ;774400.00 ;345368.47 ;61483.52 
080;000100;2024012;1000000482;00233374;45244782;Česká spořitelna, a.s.;Ú;Projekt Intenzifikace;CZK;1M PRIBO;20210607;20281220;01;5000000.00 ;2054340.42 ;2054340.42 ;211176.58 
080;000100;2024012;1000000484;00233498;45244782;Česká spořitelna, a.s.;Ú;Výstavba kanalizace;CZK;0,72;20170315;20320315;01;15000000.00 ;15000000.00 ;6740715.97 ;284404.24 
080;000100;2024012;1000000485;00233501;45317054;Komerční banka, a.s.;Ú;Rekonstrukce a energetické úspory KD;CZK;4,09;20240426;20290331;10;20000000.00 ;16709486.97 ;754718.00 ;287696.21 
080;000100;2024012;1000000486;00233510;45244782;Česká spořitelna, a.s.;Ú;Kanaliace a ČOV Loděnice - I. a II. etapa;CZK;1,99;20101008;20281231;01;25000000.00 ;25000000.00 ;19136000.00 ;0.00 
080;000100;2024012;1000000486;00233510;45317054;Komerční banka, a.s.;Ú;Kanalizace a ČOV Loděnice - II. etapa;CZK;4,98;20120530;20310625;01;7000000.00 ;7000000.00 ;4398210.00 ;0.00 
080;000100;2024012;1000000488;00233587;45317054;Komerční banka, a.s.;Ú;Dofinancování projektu Mezouň splašková kanalizace;CZK;0,49;20170202;20320430;01;10000000.00 ;10000000.00 ;4883760.00 ;212589.07 
080;000100;2024012;1000000491;00233650;45244785;;Ú;financování kanalizace;CZK;1,93;20140725;20351231;02;19900000.00 ;19900000.00 ;8953200.00 ;2872929.20 
080;000100;2024012;1000000493;00233692;45244782;Česká spořitelna, a.s.;Ú;koupě nemovitosti;CZK;0,89;20170412;20270520;01;2200000.00 ;2200000.00 ;1668030.00 ;90774.00 
080;000100;2024012;1000000497;00233790;45244782;Česká spořitelna, a.s.;Ú;výstavba kanalizace v Hatích;CZK;1,27;20170724;20321220;01;13000000.00 ;12999999.82 ;6332550.00 ;732610.60 
080;000100;2024012;1000000498;00233803;45244782;Česká spořitelna, a.s.;Ú;VO, chodníky a kanalizace v rámci průtahu Srbskem;CZK;3,21;20240919;20461220;01;26000000.00 ;0.00 ;0.00 ;0.00 
